香港1,#genre#
星空电影频道,http://iot-mqqt.111yao.cn:8080/live/diyp_starmovies.m3u8
星空音乐频道,http://iot-mqqt.111yao.cn:8080/live/diyp_channelv.m3u8
星空卫视频道,http://live.xmqkx.com/live/k64rsd6iYBSyfwv329281DpNQWdegX0tm6NMsj6OWsUFWUahqU.flv
星空卫视频道,http://iot-mqqt.111yao.cn:8080/live/diyp_xingkong.m3u8
香港卫视频道,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港C+_-频道,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
重温经典频道,http://m.061899.xyz/mg/cwjd
重温经典频道,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd
澳门莲花频道,http://live-hls.macaulotustv.com/lotustv/macaulotustv.m3u8
HUB娱家频道,http://j.s.bkpcp.top/js/yjt
HUB都会频道,http://j.s.bkpcp.top/js/dht
八度空间频道,https://edge.163189.xyz/163189/8tv
新加CHU频道,https://edge.163189.xyz/163189/chu
新加CH5频道,https://edge.163189.xyz/163189/ch5
新加CH8频道,https://edge.163189.xyz/163189/ch8
新视觉hd频道,http://120.76.248.139/live/bfgd/4200000249.m3u8

香港2,#genre#
凤凰中文,http://pullpackage.alivecdn.com/live/gwS5kbEwNmWObygXxkdd6UZDdYr0rZAqkFgLZRwPewJMVnfHy8.flv
凤凰资讯,http://pullpackage.alivecdn.com/live/7KUcGQoK76UZDdK0vAuRVWGZSscrMD5x2eSGbg4y8YFVh6dd2S.flv
凤凰香港,http://pullpackage.alivecdn.com/live/uEACKo2YT4ZTiHBMNM2g49d00j924NASwca46UZDd6hsAvKE1L.flv
凤凰中文,https://cdn6.101.qzz.io/163189/fhzw
凤凰资讯,https://cdn6.101.qzz.io/163189/fhzx
凤凰香港,https://cdn6.101.qzz.io/163189/fhhk
无线生活,http://j.s.bkpcp.top/js/tvbsht
无线星河国标,http://j.s.bkpcp.top/js/tvbxhpdg
无线星河粤标,http://j.s.bkpcp.top/js/tvbxhpdy
无线功夫国标,http://j.s.bkpcp.top/js/tvbgftg
无线功夫粤标,http://j.s.bkpcp.top/js/tvbgfty
翡翠台,http://mytv.cdn.loc.cc/o12.php?id=fct
Plus综合,http://pullpackage.alivecdn.com/live/O5YSEcBsq1Sn6UZDddrf2uC7Ub3lAtYhmtOhbZFhdCdSpkHMDe.flv
PopC电影,http://pullpackage.alivecdn.com/live/qCjser4LmXtrk9zddBzVgxYdDxQc1yBcWaJZbPGtvaFUpFJL5q.flv
CM+电影,http://pullpackage.alivecdn.com/live/AIEsDlzGuBqUcVt1MbzxzddBzrxoP8pNBiNUgdbrfoYo5obb5B.flv
Now爆谷,http://pullpackage.alivecdn.com/live/vhNli7a2uwqrSArlhBpDjs0w6UZDdVLkMnb9OJ2Hzj14qlP0TO.flv
Now星影,http://pullpackage.alivecdn.com/live/eZ15T2tea8ztrRlszHaTVfz0EB9nqz8GhiBZHNyMW06UZDdRZt.flv
有线新闻,http://pullpackage.alivecdn.com/live/hUCrfw4QYQ0jnzNzBOyknEou8NKNbPM30NZ4zz6UZDd05KeGhG.flv
无线新闻,http://live3.jiatianxiazhuangshi.com/live/iUJnBYKU9riuj2Jlibsdwb5m69FKfo6UZDdgNC09xXfFvAn4GP.flv
Now新闻,http://pullpackage.alivecdn.com/live/jZZ2hCFnEcClg2McuImLPcRz6UZDdaXDBKtltuWtYkNUFb7FPU.flv
无线翡翠,http://pullpackage.alivecdn.com/live/CL7gYJcMM5BXZvyamZly3XZnyMmRJ6UZDdp12oP6KkG1PhQWJK.flv
无线翡翠新坡,http://pullpackage.alivecdn.com/live/bNUJfDlj5xtSJFSf660kDlG6UZDdaNX0tUks0kHM00gDkHukNW.flv
无线翡翠马来,http://pullpackage.alivecdn.com/live/QbsxHsZLNj2ktY6UZDdZTZUHJTlZVjSZpxY5sl6vOrZ3E7ZGep.flv
无线明珠,http://pullpackage.alivecdn.com/live/fiUuXZC6C8vRRfGvuUTOUJqf5P6UZDdH9BhEE7d6usSBcnv4Ar.flv
无线娱乐,http://pullpackage.alivecdn.com/live/SE7CQoYzqeFgE2XWIdGn5xhydKz9KCZQE8eqDZKv6UZDd0LemY.flv
无线生活,http://pullpackage.alivecdn.com/live/1YSKKplsCJMBhMsAS37Py6UZDd2UCOeqYgPS0IDjve8UKxS5QS.flv
无线星河国,http://pullpackage.alivecdn.com/live/uQ6GAaRJTHxr6UZDduthoagPy0FHuv5avbHvBZcOr5HvXfRxPV.flv
无线星河粤,http://pullpackage.alivecdn.com/live/8uNQ46jkBZiwc55OHDKkzFYcxx6FXq94pv6UZDdsZsjzJtTCVU.flv
无线功夫国,http://pullpackage.alivecdn.com/live/chNDM1y6UZDdfbemYe3QFaC10n2vqBePUyvCKs7NLnIKhl7lKu.flv
无线功夫粤,http://pullpackage.alivecdn.com/live/YpGP7rsFENzvY6UZDdaKuCFTBnIH0fRmVUak5AfbG3XLFwTEPv.flv
无线翡剧,http://pullpackage.alivecdn.com/live/d44FhMk2AV9IbtcJgmYc7rrDSOOxn6UZDdTnY2MtgFyn0ArB7z.flv
无线明剧,http://pullpackage.alivecdn.com/live/U5Lu0QKcXlS8JlsFq99Y9fgbg6UZDdqtabagzClzSngLlR1hL2.flv
无线_1美,http://pullpackage.alivecdn.com/live/9nWoj6aYLHQtkV1fXQa0tN6c00jq5FxEqzfqZ6OBB6UZDdePqp.flv
无线J1美,http://pullpackage.alivecdn.com/live/xU3SHbh86UZDdCEoP4aRvogZf7Onz4VphQKpce5vuUHrwYauhG.flv
无线新闻美效,http://pullpackage.alivecdn.com/live/yZ6UZDdFKhAZiWnXgZWQtkOfGZLPdaetFNBYOn2p5klcv31Zq2.flv
无线千禧,http://pullpackage.alivecdn.com/live/dExIt6UZDdRV3yeH33cbhn443lvbm4nz1qEI9Rfs1Slf1STsjz.flv
无线经典,http://pullpackage.alivecdn.com/live/fD4fmT6vwtB6UZDdFEIbVd4SyRYntuv1udJKWezJ9NkDqJuGUw.flv
无线亚剧,http://pullpackage.alivecdn.com/live/rM0yCjRrM45g0g0zb6SBpvHTFhSCM6UZDdp3yOjoj39pcQVAO5.flv
无线戏曲,http://pullpackage.alivecdn.com/live/EQcxaUJ0gZR1V1guXNnV6UZDd3lw09kOfAEmUvz6eXnGqefbwf.flv
无线粤片,http://pullpackage.alivecdn.com/live/v5LtFyUjxTM9K9sXnBUAtatoy85TCGnQEqb6UZDdz8gSKtPpeL.flv
有线综合,http://pullpackage.alivecdn.com/live/OCitoW8kzeqjIz36UZDdfrCbwDgkjTSFmulrDM1lE9TMzfApyL.flv
无线赛马,http://pullpackage.alivecdn.com/live/cT7MQqzKrmrzddBzvZdfHcd10LKIBUwfBRmIv7kKO9mFkPlyy7.flv
28aI赛马,http://pullpackage.alivecdn.com/live/XjuVOEkd0OiG5eoxSGZCcgKP0riuzddBzC3FGnZ8Sj26LYwQVq.flv
黄金翡翠,http://pullpackage.alivecdn.com/live/R66UZDdqenSOIcWLKrw7tdTr6YAlUncDMRVANBe7tBQpLPlbtN.flv
黄金华剧,http://pullpackage.alivecdn.com/live/HZvZxcheOtb6UZDdYtaTNRcYeQhgGTeXNBxInESYlFHHleooST.flv
Now剧集,http://pullpackage.alivecdn.com/live/B9AKX0X3gSWZVv91H6UZDdsYyM8Fie9HvmJFzg3XN8JiR27kog.flv
Now紫金,http://pullpackage.alivecdn.com/live/QrXWok6UZDdeGAWr9KbBUj9SwAMpVECiuTogGgIBeU1qwawMVI.flv
Now财经,http://pullpackage.alivecdn.com/live/id2juxgerPpaXYPuBn0AXpi6dkvTB6UZDdknvEt65hmHi9T4LV.flv
VIUTV-粤,http://pullpackage.alivecdn.com/live/qwBoHYA5D4CJaoEgtcAi3kQJ0f6UZDdov2AtSIL9RQVzndAtee.flv
VIUTV-英,http://pullpackage.alivecdn.com/live/XTVjHb7nkSAmq4th36UZDdUQfGi89vvKt3IQIE0wTbQWlYkC6M.flv
RTHK-31,http://pullpackage.alivecdn.com/live/LfN6YUZUCujLNYAAbTwZNcgmoY0FTLE4wnk6UZDd3nVtHcTXws.flv
RTHK-32,http://pullpackage.alivecdn.com/live/2qZtBpB9peDqOiC3nfsgcW6UZDdZEW6qI8pTBOx39dndS7vriR.flv
HUB娱家,http://pullpackage.alivecdn.com/live/GcfZCDyCgexp8USTySZ0oNBzddBznfWCOL5hm2AVQ5BDpUHPLT.flv
HUB都会,http://pullpackage.alivecdn.com/live/UvzddBzjzUN28jAhDBAnKugzkDvUQQFBxPSLTSTxTAltdKqqw9.flv
新加乐酷,http://pullpackage.alivecdn.com/live/GzddBznmfiM0uqxZWlzJBXKE9G4gv2fKB3eAtc6qB3Ye8F2DLj.flv
新加_E乐,http://pullpackage.alivecdn.com/live/xh029O2qKjDD8o27lHj76f63TmxtfPMWcwIDuHgPjzddBzNgVp.flv
新加CHu,http://pullpackage.alivecdn.com/live/zp9uNUvjizz7IH00H63GBYGeLaaiMQkj5ZOFUzddBzeR0SVrSQ.flv
新加CH5,http://pullpackage.alivecdn.com/live/VJVrMuQ0xwyiaWoTR6PzddBz9C5knrh34u7RP31Yy5W8Tt4N9x.flv
新加CH8,http://pullpackage.alivecdn.com/live/xMTbfoAlsYbZwgCzddBzF2yuV6c55LyiBe2cvEDBI8Mtgt5ggv.flv
天映经典国效,http://pullpackage.alivecdn.com/live/m9HgJVv5tpj9y6X4G1zddBzc0cReeehuBpFdXTV9XG4BHoCfje.flv
天映经典粤效,http://pullpackage.alivecdn.com/live/R6lHXlf5kuOzddBzQcmTulgsTEgPPA1nSDMKzDM7ZY7vJpVAz1.flv
天映频道国效,http://pullpackage.alivecdn.com/live/XnAdPMgnYti2BzddBzVqSXjdBemJSo8pZTaVRnBNWQx6BSvNiq.flv
天映频道粤效,http://pullpackage.alivecdn.com/live/F1ivcJGhnLpvXiIFMzxSRcAFyRzddBzfOK9k9OLV3eXJVEyv8B.flv
星光综合,http://pullpackage.alivecdn.com/live/pM6x6iYBSRSjT5CVysT4YDxpQ8hyY1BOAhEpYGg49OLuGays7d.flv
重温经典,http://pullpackage.alivecdn.com/live/8U6M6iYBSsicB3rv3yvMzd66nIi2gsD44LiKSEPUCtroZSEm3C.flv
澳门莲花,http://pullpackage.alivecdn.com/live/2QPHCLVhtslEc6H7MUWEzddBzvm8y0QUs7QNObi6Ol7yuUjD2f.flv
澳门资讯,http://pullpackage.alivecdn.com/live/4sZT1RkCLwTIl9hRr9xgkoCqH1L01QRzddBzdzlZfKhXepWOYm.flv
澳门Macau效,http://pullpackage.alivecdn.com/live/5UkJ3Oc5HNcKd6Uhduunsgqm3zddBzYb24DD0wazRIEvcTWWxu.flv
澳视澳门,http://pullpackage.alivecdn.com/live/QXMnr77reTmmbWiTQjlNFc2rcUOawcB5vQzddBztD8Z686YrsM.flv
澳门体育,http://pullpackage.alivecdn.com/live/VAAgnuA8683Aas1WXMKdl8iczx5QI6lBUBzddBzW4sRGmt4xap.flv
澳门综合,http://pullpackage.alivecdn.com/live/VAAgnuA8683Aas1WXMKdl8iczx5QI6lBUBzddBzW4sRGmt4xap.flv
凤凰资讯,http://219.145.93.74:10000/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰中文,http://220.169.109.72:802/udp/239.76.253.135:9000
凤凰资讯,http://220.169.109.72:802/udp/239.76.253.134:9000
凤凰中文,http://123.174.106.183:8888/udp/239.1.1.126:8126
凤凰资讯,http://123.174.106.183:8888/udp/239.1.1.127:8127
凤凰中文,http://58.19.180.108:9981/stream/channelid/1749482778?profile=pass
凤凰资讯,http://58.19.180.108:9981/stream/channelid/708272803?profile=pass
TVB星河,http://117.141.162.238:8181/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0
星空卫视,http://iot-mqqt.111yao.cn:8080/live/diyp_xingkong.m3u8
星空音乐,http://iot-mqqt.111yao.cn:8080/live/diyp_channelv.m3u8
凤凰电影,http://39.107.120.164:8080/live/diyp_fhdy.m3u8
亚洲卫视,https://p2hs.vzan.com/slowlive/821481626725612419/live.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
环球电视,http://utv1.hqtvzb.com:9999/hls/world.m3u8
香港C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/index.m3u8

台湾1,#genre#
中天新闻,http://5.44.249.130:5002/ts/8i2mwhruaecye9fa.ts
中天CTI+,http://pullpackage.alivecdn.com/live/bfd2yczrTFqK7nEAJybacKGcrnLdslNp5YcphockmQnscq2S1p.flv
TVBS新闻,http://pullpackage.alivecdn.com/live/AocNA7nvWaoTEOU1kWJnR67lprbfd2y0CHqgjYOaOYV5JSmoP2.flv
三立新闻,http://pullpackage.alivecdn.com/live/GDGMQBLKWMPhyKJYSPPR6dnb2lS3FvykpFuj8AZf19Mbfd2yjx.flv
三立iNEWS,http://pullpackage.alivecdn.com/live/s1MnZyvakgihRsIVdMDeWvkbf3Da2Krbfd2yT1fV3lo74wZSW0.flv
中视新闻,http://pullpackage.alivecdn.com/live/hNsy4N2Ykbfd2ywCSlOqFQ1aSenAhZLYUenP1IoaAltR3IXYOp.flv
台视新闻,http://pullpackage.alivecdn.com/live/ofFqVir8hEYxZDb6y677FJxn0xrbfd2yPfOT6XuHngNXajvBUY.flv
中天新闻,http://pullpackage.alivecdn.com/live/ogVoQHdbfd2ydsH4o82zYFquhPEy4XWeWisjW2fHs4Oew26P63.flv
东森新闻,http://pullpackage.alivecdn.com/live/IfhEdN30gjBbSbfd2ySSKGFHHl6JFBwhgtYpQxoGIKytCfl1hl.flv
东森新闻(美),http://pullpackage.alivecdn.com/live/Q6dIFsHxR2r9pqtq3qj8UT4oiUNO4ShbiuR7tArXo2R9KttNex.flv
寰宇新闻,http://pullpackage.alivecdn.com/live/3cDvCNnbfd2yBiEhqihpaWdiHXNv7HnTEMRGcac8hxFeC1F9j6.flv
寰宇新闻台湾,http://pullpackage.alivecdn.com/live/KJ6iYBSlimt4muXGPpWC18ZsfO94cpt5jUEV0Qh6EhuxPAMupr.flv
民视新闻,http://pullpackage.alivecdn.com/live/5CkUiYhpTaUWibfd2yVPulg2rBioJ6XgbbmxF2hWNQyygV2U12.flv
年代新闻,http://pullpackage.alivecdn.com/live/ruqTd9DCQm8ZG3MvLBN6uqJ6DB6owtfo2R9Kvitv9fNrV82Z1V.flv
非凡新闻,http://pullpackage.alivecdn.com/live/sfJwT8pItQWo2R9KeTnXWyitDENDKddYAZwQVRtqTvKqVqyMJH.flv
镜新闻,http://pullpackage.alivecdn.com/live/4ef3bV1oG7KBJy3bfd2ybfSDto8eDzUvR0mWv5oKB6nemLkT4c.flv
民视,http://pullpackage.alivecdn.com/live/ERadomiHho2R9KVLuQH0M1KoLqTYrGUZBRAAxPowEwb8JN2Yf0.flv
中视,http://pullpackage.alivecdn.com/live/ShLJKgSj71R4wf0v8TfYoSUE68hUT0uREPo2R9KGe0pgDFxpIw.flv
华视,http://pullpackage.alivecdn.com/live/pIo2R9K6geqWLAzPjvY5TD8d8eGRkdFBAZn8IfdKPAA57savCh.flv
公视,http://pullpackage.alivecdn.com/live/laQyYo2R9KNEOiwM1uacLEYJs0zLZR34rbw69ivdrfQqrDqndY.flv
台视,http://pullpackage.alivecdn.com/live/pUYRwiaacRh4uyd7o2R9KOPIPg4zbh5a9Pf7IFqlGzjcIPsKG9.flv
TVBS HD,http://pullpackage.alivecdn.com/live/XhyG6NWlXFUuLxA75JShFUJC6ZK7Wl7b9ohSUJ8ZFuoo2R9KMv.flv
TVBS欢乐,http://pullpackage.alivecdn.com/live/FaZ3Vo2R9KKU2bz3b7Iy6f4evzUPNgMY6vKKkn7McVbTD5AXZW.flv
TVBS亚洲,http://pullpackage.alivecdn.com/live/mL1ArDDl4Wlhsdv2vApi0OyUYRtdBJo2R9KEYlEoAcwIN0c4bX.flv
TVBS精采,http://pullpackage.alivecdn.com/live/0o2R9KYaU9Xvyn84tynbS8cp3vajDiOp3ZDqrurb4MEtTsSxi5.flv
TVBS台剧,http://pullpackage.alivecdn.com/live/DMBDr5IM1o2R9KYTrRtv2GOHF7WpbaYWfblCoaPKBCnroeRU1I.flv
民视,http://pullpackage.alivecdn.com/live/1mhkBzPF5dKnb6o2R9KKYweyRF7XIDNeRSrMnUTk3eNCnUT9mH.flv
民视影剧,http://pullpackage.alivecdn.com/live/ELjaeHOFG9HT3UOUJ5sbRcrufQf3CnhBzPoHD2QUWoo2R9KPOG.flv
民视旅游,http://pullpackage.alivecdn.com/live/2qpqhZBUjlExLXF0k7hrQVYo2R9KMtkYLV75nmCXapHiBbGkxq.flv
民视综艺,http://pullpackage.alivecdn.com/live/Y7cu3cdXfTg7SVguG1INiKdj8OOjtZoZWTjto2R9K2CrUEagHT.flv
中视经典,http://pullpackage.alivecdn.com/live/V7O2wGBxHJTcOEehdkvCuDY6MpgGBITo2R9KruhNMwDqJ9v2b6.flv
中视菁采,http://pullpackage.alivecdn.com/live/XfHm3ppyRu5KOiRSJNo2R9KmPyrXk495722WDbci0THyG7pCm6.flv
中天娱乐,http://pullpackage.alivecdn.com/live/pkTGSVXC7wb7lK2z3JA0VW4c2o2R9K34K3QNCNk7b7X52TSVA0.flv
中天综合,http://pullpackage.alivecdn.com/live/n3o2R9K7fEu63G7RxCkXpHu8Nfpi546vPyjxQuOl0aOAoViP2L.flv
中天亚洲,http://pullpackage.alivecdn.com/live/YrcGXEoezVQyCbsX5IJ9K9ssMRFhxcRxDo7EmWUFo2R9KonW22.flv
台视综合,http://pullpackage.alivecdn.com/live/1fAAda17L41fqlzo2R9KY5nPKNqvLwxkfwKIcIMBeBbKtYRRdqX.flv
三立台湾,http://pullpackage.alivecdn.com/live/HNF1G6VXjmo2R9K8b2IWZ4pXKUKuJhO5vUHuNYiG1ISnPGPCuq.flv
三立戏剧,http://pullpackage.alivecdn.com/live/Ubmbfd2yeiurTa7IAZwc9yg3WHBILRp5ueNjYcnKl8MRCOrVoC.flv
三立综合,http://pullpackage.alivecdn.com/live/jVZE8l0eYuVu58V4873fhJbRg8vONxIaO56YZo2R9KwLXJLNZ0.flv
三立都会,http://pullpackage.alivecdn.com/live/3YltNttE2bdYdwv6WgYhMo2R9KNtLYzxm0qdSrS51TgRCVGbqN.flv
八大第一,http://pullpackage.alivecdn.com/live/b57sypVTlxo2R9KYlfH4QL4XTCHi2KwiQyMQKRQIUjzIDeLCuu.flv
八大综合,http://pullpackage.alivecdn.com/live/lyeNKM6no2R9KqBLwLi50nYwa9vDzXSLJcsjRctcdW47HCen3R.flv
八大戏剧,http://pullpackage.alivecdn.com/live/tcoo2R9KW3z0M8OqliMqUfQZJfEbo7DQotA44wLuM9f9tfTHuu.flv
八大娱乐,http://pullpackage.alivecdn.com/live/zhVfmo2R9KmOb3uglBomVwWDc399NNRawVbUSKOhPvN1o7Dq40.flv
八大精采,http://pullpackage.alivecdn.com/live/Mmbibrtx6ELAo2R9KgCQJPo5cFfD4ac9qHiReeThSJOYuCG093.flv
龙华电影,http://pullpackage.alivecdn.com/live/Dy45Iv0516sTzN6ZEffUBuUUOQoKsP9UdHeg4sJgqOkOvWjPdA.flv
龙华戏剧,http://pullpackage.alivecdn.com/live/dCImueXstHlr4Y8bWmQPh0uG18PmgojBRG3XZsJgqO8npsySSQ.flv
龙华洋片,http://pullpackage.alivecdn.com/live/N1S4SjOnTnxegYsftAWGMMiu4K3MXkvMMm2bfd2yUYnVkPSxYt.flv
龙华偶像,http://pullpackage.alivecdn.com/live/vt4dCOecf7kVYoIZ1Pu9Ct6Y6ZuwIHPUMgKpobfd2ympw7hb6B.flv
龙华日韩,http://pullpackage.alivecdn.com/live/GD8HEPHYTZqmWcX4YIgJAWJmobfd2yko44kWegmQ62bcMT6UR4.flv
龙华经典,http://pullpackage.alivecdn.com/live/FVXXIfMzo9JY3Yf51RmhP9QdksJgqOTswNRgQ7T0FJQDvC3XfN.flv
龙华卡通,http://pullpackage.alivecdn.com/live/fTrZsKXrBDjtN9ksJgqObhMsDJmzn5g3Md1FZJI7wBNERadnyn.flv
龙祥时代,http://pullpackage.alivecdn.com/live/sPPQ61LQNXo8soCOUiBtEJkcEteffTBbmVkvsJgqOXkuwRGfFH.flv
纬来体育,http://pullpackage.alivecdn.com/live/vbfd2ySU9eQRrPJdoDKK58n7FV3fLjCWKGHiNx0u5Mq88h1sua.flv
纬来日本,http://pullpackage.alivecdn.com/live/9GvTU2uF7ojoSqF9RpsJgqOIUjGIIIXBjri1pSLh3TIjbNAMLo.flv
纬来电影,http://pullpackage.alivecdn.com/live/LIjQbqWr0oCfwR6SjWMVXyUh5m1qsJgqORFprvbBloK6NfqVBD.flv
纬来综合,http://pullpackage.alivecdn.com/live/WlC9hX5z83gmgJVCBAAcmN3kbPGTDaFQsJgqOzs5tH3BHkVooY.flv
纬来精采,http://pullpackage.alivecdn.com/live/rLYsJgqOWdGiLne9KjjpnE9obyYXiptQspaPUsDl8pvZBA3aoe.flv
东森综合,http://pullpackage.alivecdn.com/live/o93jqjfiqGMSXna1CKOrut7IAV5k4qjlo2R9K8XS6pBxUgLJDj.flv
东森戏剧,http://pullpackage.alivecdn.com/live/UZne9SqWr0qY0g17N3wvg4wAZPxotnT1Vo2R9KwlhWyltgiA2E.flv
东森超视,http://pullpackage.alivecdn.com/live/io29sqUSk2GJcNDRp7qdp9SmDDNdQHFqAA7Wo2R9KW49U7oWxO.flv
东森美洲,http://pullpackage.alivecdn.com/live/WeC4J9IknCDkTgs7OTb79e9ZfsALZEzGPyj7VThduGo2R9KXGl.flv
东森电影,http://pullpackage.alivecdn.com/live/bCfUAGCL9ukBOGb6dOi9To2R9K9yKesDJWcvlAgBMV6uv722A6.flv
东森洋片,http://pullpackage.alivecdn.com/live/kik9tNVo2R9KMDD687bFX3vtLMD4Lwg69y94g8XKH40P1BOa5U.flv
东森幼幼,http://pullpackage.alivecdn.com/live/3Q1lv4z4KUmZJFpFmZOs2OLdO8SVo2R9KqSdohwKaEihWur77j.flv
tvbs精采,http://pullpackage.alivecdn.com/live/0o2R9KYaU9Xvyn84tynbS8cp3vajDiOp3ZDqrurb4MEtTsSxi5.flv
tvbs欢乐,http://pullpackage.alivecdn.com/live/FaZ3Vo2R9KKU2bz3b7Iy6f4evzUPNgMY6vKKkn7McVbTD5AXZW.flv
tvbs亚洲,http://pullpackage.alivecdn.com/live/mL1ArDDl4Wlhsdv2vApi0OyUYRtdBJo2R9KEYlEoAcwIN0c4bX.flv
tvbs台剧,http://pullpackage.alivecdn.com/live/DMBDr5IM1o2R9KYTrRtv2GOHF7WpbaYWfblCoaPKBCnroeRU1I.flv
靖洋戏剧,http://pullpackage.alivecdn.com/live/XlegTDWYT9ep8KB36iYBSvP69Hg7M8VqNkL2mQN94DhcNUCNw0.flv
靖洋卡通,http://pullpackage.alivecdn.com/live/1mUYQZLdRkgjJN6iYBSTz6kz5F2dYvepowaNMyu9qyBvU7aRyJ.flv
靖天卡通,http://pullpackage.alivecdn.com/live/77cgf0AYUp72v80F5orJ4rvKe2xJniFSbh9SBoGOYdvvgsJgqO.flv
